City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
204,Avera,US,2021-07-19 17:48:18,33.194,-82.5271,85.51,79,100,7.67
205,Torbay,CA,2021-07-19 17:43:33,47.6666,-52.7314,74.75,64,75,14.97
206,Port Blair,IN,2021-07-19 17:44:15,11.6667,92.75,81.0,85,100,18.63
207,Diamantino,BR,2021-07-19 17:48:18,-14.4086,-56.4461,83.66,24,0,8.66
208,Bredasdorp,ZA,2021-07-19 17:43:24,-34.5322,20.0403,52.92,87,99,4.61
209,Navalmoral De La Mata,ES,2021-07-19 17:48:18,39.8916,-5.5406,96.96,13,0,12.39
210,Hofn,IS,2021-07-19 17:44:17,64.2539,-15.2082,59.02,67,20,9.22
211,Sheridan,US,2021-07-19 17:45:50,44.8333,-106.9173,95.65,26,1,7.0
212,Staraya Toropa,RU,2021-07-19 17:48:18,56.2801,31.6702,68.54,57,71,6.4
213,Shorapani,GE,2021-07-19 17:48:19,42.0898,43.0866,80.19,68,1,3.44
214,Los Llanos De Aridane,ES,2021-07-19 17:48:19,28.6585,-17.9182,69.55,78,40,14.97
215,Vila Velha,BR,2021-07-19 17:48:20,-20.3297,-40.2925,76.96,72,75,14.97
216,Port Said,EG,2021-07-19 17:48:20,31.2565,32.2841,84.18,74,0,8.05
217,Manikling,PH,2021-07-19 17:48:20,6.8791,126.0606,78.71,83,100,3.38
218,Wajima,JP,2021-07-19 17:48:20,37.4,136.9,77.38,79,31,4.65
219,Lazaro Cardenas,MX,2021-07-19 17:43:55,17.9583,-102.2,87.51,57,68,4.63
220,Geraldton,AU,2021-07-19 17:43:40,-28.7667,114.6,57.61,88,90,8.05
221,Burhanpur,IN,2021-07-19 17:48:21,21.3,76.2333,80.98,82,100,11.41
222,Souillac,MU,2021-07-19 17:43:39,-20.5167,57.5167,71.98,73,75,14.97
223,Juegang,CN,2021-07-19 17:44:24,32.3174,121.1855,78.33,95,15,11.3
224,Kaitangata,NZ,2021-07-19 17:43:51,-46.2817,169.8464,43.93,85,39,5.17
225,Cheremnoye,RU,2021-07-19 17:48:21,53.1697,83.2133,63.19,75,58,3.83
226,Ucluelet,CA,2021-07-19 17:44:50,48.9329,-125.5528,59.31,58,0,4.7
227,College,US,2021-07-19 17:48:21,64.8569,-147.8028,66.09,64,20,3.44
228,Bonthe,SL,2021-07-19 17:48:21,7.5264,-12.505,80.02,81,79,7.36
229,Bhainsdehi,IN,2021-07-19 17:48:22,21.6467,77.6325,75.15,86,99,6.13
230,Tiksi,RU,2021-07-19 17:44:25,71.6872,128.8694,53.38,94,85,9.55
231,Svetlogorsk,BY,2021-07-19 17:48:22,52.6333,29.7333,68.58,84,79,4.43
232,Port Lavaca,US,2021-07-19 17:48:22,28.615,-96.6261,94.28,67,40,6.91
233,Mahebourg,MU,2021-07-19 17:43:29,-20.4081,57.7,71.89,73,75,14.97
234,Toccoa,US,2021-07-19 17:48:22,34.5773,-83.3324,82.22,77,75,3.44
235,Linqing,CN,2021-07-19 17:48:22,36.8456,115.7117,76.15,84,100,4.68
236,Thompson,CA,2021-07-19 17:43:21,55.7435,-97.8558,64.56,42,40,4.61
237,Ust-Koksa,RU,2021-07-19 17:48:23,50.2696,85.6108,54.45,69,46,1.05
238,Namatanai,PG,2021-07-19 17:48:23,-3.6667,152.4333,77.67,84,100,4.45
239,Luganville,VU,2021-07-19 17:48:23,-15.5333,167.1667,78.08,83,86,7.09
240,Lasa,IT,2021-07-19 17:48:23,46.6166,10.7002,85.91,61,49,3.58
241,Sotouboua,TG,2021-07-19 17:48:24,8.5667,0.9833,75.25,87,100,4.16
242,Goure,NE,2021-07-19 17:44:34,13.9835,10.2704,90.01,38,16,10.6
243,Tynda,RU,2021-07-19 17:48:24,55.1667,124.7167,61.59,99,100,1.88
244,Alta Floresta,BR,2021-07-19 17:48:24,-9.8756,-56.0861,87.62,42,0,8.05
245,Shunyi,CN,2021-07-19 17:48:24,40.125,116.6453,79.29,88,77,2.24
246,Rawah,IQ,2021-07-19 17:48:25,34.4816,41.9093,103.12,8,0,16.33
247,Maua,BR,2021-07-19 17:44:44,-23.6678,-46.4614,69.37,19,34,6.2
248,Sao Filipe,CV,2021-07-19 17:43:50,14.8961,-24.4956,75.36,83,21,8.55
249,Port Keats,AU,2021-07-19 17:48:25,-14.25,129.55,67.12,33,83,7.52
250,Mianyang,CN,2021-07-19 17:48:25,31.4593,104.7542,75.11,89,48,2.33
251,Kununurra,AU,2021-07-19 17:48:25,-15.7667,128.7333,57.18,82,73,0.0
252,Thanh Hoa,VN,2021-07-19 17:48:26,19.8,105.7667,78.66,90,86,3.44
253,Kushmurun,KZ,2021-07-19 17:48:26,52.4503,64.6311,64.9,85,63,6.02
254,The Valley,AI,2021-07-19 17:44:20,18.217,-63.0578,86.14,66,20,19.57
255,Kathmandu,NP,2021-07-19 17:48:26,27.7167,85.3167,73.62,94,75,5.75
256,San Cristobal,VE,2021-07-19 17:44:11,7.7669,-72.225,78.98,77,47,8.12
257,Koungou,YT,2021-07-19 17:48:26,-12.7336,45.2042,74.91,73,40,6.91
258,Korla,CN,2021-07-19 17:43:30,41.7597,86.1469,78.48,35,100,11.86
259,Yarada,IN,2021-07-19 17:48:27,17.65,83.2667,79.12,100,75,3.44
260,Aldan,RU,2021-07-19 17:48:27,58.6031,125.3894,63.72,65,100,5.66
261,Shingu,JP,2021-07-19 17:48:27,33.7333,135.9833,74.91,94,38,3.78
262,Margate,GB,2021-07-19 17:44:14,51.3813,1.3862,72.7,70,9,1.01
263,Badiraguato,MX,2021-07-19 17:48:27,25.3667,-107.5167,95.45,37,32,3.96
264,Kenora,CA,2021-07-19 17:48:28,49.8167,-94.4337,69.19,36,12,9.44
265,Aanekoski,FI,2021-07-19 17:48:28,62.6946,25.818,62.67,58,47,11.39
266,Pyapon,MM,2021-07-19 17:48:28,16.2833,95.6833,76.89,91,100,10.98
267,Purwakarta,ID,2021-07-19 17:48:29,-6.5569,107.4433,75.38,92,24,2.91
268,Elbistan,TR,2021-07-19 17:48:29,38.2059,37.1983,80.89,30,0,5.7
269,Port-Gentil,GA,2021-07-19 17:44:35,-0.7193,8.7815,76.96,78,40,13.8
270,Jijiga,ET,2021-07-19 17:48:29,9.35,42.8,65.08,67,49,13.56
271,Coquimbo,CL,2021-07-19 17:39:50,-29.9533,-71.3436,53.33,76,40,12.66
272,Port Hawkesbury,CA,2021-07-19 17:48:29,45.6169,-61.3485,75.58,89,90,4.0
273,Keita,NE,2021-07-19 17:48:30,14.7551,5.7749,93.67,35,3,9.13
274,Shar,KZ,2021-07-19 17:48:30,49.5886,81.0453,67.68,62,42,9.19
275,Te Anau,NZ,2021-07-19 17:43:25,-45.4167,167.7167,35.73,93,44,0.74
276,Itaituba,BR,2021-07-19 17:48:30,-4.2761,-55.9836,93.36,52,40,0.0
277,Cherskiy,RU,2021-07-19 17:43:27,68.75,161.3,49.39,62,22,5.99
278,Oranjemund,NA,2021-07-19 17:48:30,-28.55,16.4333,56.71,89,16,10.11
279,Kasongo-Lunda,CD,2021-07-19 17:48:31,-6.4667,16.8167,77.88,25,7,3.76
280,Awjilah,LY,2021-07-19 17:48:31,29.1081,21.2869,89.6,28,27,8.66
281,Sisak,HR,2021-07-19 17:48:31,45.4661,16.3783,80.58,95,91,2.17
282,Zhmerynka,UA,2021-07-19 17:48:31,49.037,28.112,74.98,89,61,6.73
283,Barsovo,RU,2021-07-19 17:48:32,61.1667,73.1667,64.53,88,81,6.58
284,Pierre,US,2021-07-19 17:43:44,44.3683,-100.351,92.98,48,1,11.5
285,Tura,IN,2021-07-19 17:48:32,25.5198,90.2201,75.33,92,100,5.26
286,Alamosa,US,2021-07-19 17:48:32,37.4695,-105.87,80.65,49,1,5.75
287,Yibin,CN,2021-07-19 17:48:33,28.7667,104.6238,75.56,94,26,1.77
288,Lakes Entrance,AU,2021-07-19 17:48:33,-37.8811,147.981,49.57,65,56,11.88
289,Nova Granada,BR,2021-07-19 17:48:33,-20.5339,-49.3142,64.65,7,0,9.26
290,Richards Bay,ZA,2021-07-19 17:48:33,-28.783,32.0377,63.0,69,0,12.17
291,Atikokan,CA,2021-07-19 17:48:33,48.7555,-91.6216,87.1,36,87,10.29
292,Capaci,IT,2021-07-19 17:48:34,38.1711,13.2393,80.94,78,20,1.01
293,Washington,US,2021-07-19 17:47:37,47.5001,-120.5015,81.09,20,0,3.65
